,2018,2018,2015,2015,2012,2012,2009,2009,2006,2006,2018,2015,2012,2009,2006
,M,F,M,F,M,F,M,F,M,F,av,av,av,av,av
Malta,447.0,468.0,460.0,470.0,,,,,,,457.0,465.0,,,
Mexico,424.0,415.0,420.0,412.0,418.0,412.0,419.0,413.0,413.0,406.0,419.0,416.0,415.0,416.0,410.0
Moldova,423.0,434.0,425.0,431.0,,,,,,,428.0,428.0,,,
Montenegro,413.0,418.0,409.0,414.0,402.0,419.0,395.0,408.0,411.0,413.0,415.0,411.0,410.0,401.0,412.0
Morocco,372.0,381.0,,,,,,,,,377.0,,,,
Netherlands,499.0,508.0,511.0,507.0,524.0,520.0,524.0,520.0,528.0,521.0,503.0,509.0,522.0,522.0,525.0
New Zealand,509.0,508.0,516.0,511.0,518.0,513.0,529.0,535.0,528.0,532.0,508.0,513.0,516.0,532.0,530.0
North Macedonia,404.0,423.0,374.0,394.0,,,,,,,413.0,384.0,,,
Norway,485.0,496.0,500.0,497.0,493.0,496.0,498.0,502.0,484.0,489.0,490.0,498.0,495.0,500.0,487.0
Panama,365.0,364.0,,,,,,,,,365.0,,,,
Peru,411.0,397.0,402.0,392.0,376.0,370.0,372.0,367.0,,,404.0,397.0,373.0,369.0,
Philippines,355.0,359.0,,,,,,,,,357.0,,,,
Poland,511.0,511.0,504.0,498.0,524.0,527.0,505.0,511.0,500.0,496.0,511.0,501.0,526.0,508.0,498.0
Portugal,494.0,489.0,506.0,496.0,488.0,490.0,491.0,495.0,477.0,472.0,492.0,501.0,489.0,493.0,474.0
Qatar,400.0,439.0,406.0,429.0,367.0,402.0,366.0,393.0,334.0,365.0,419.0,418.0,384.0,379.0,349.0
Romania,425.0,426.0,432.0,438.0,436.0,441.0,423.0,433.0,417.0,419.0,426.0,435.0,439.0,428.0,418.0
Russia,477.0,478.0,489.0,485.0,484.0,489.0,477.0,480.0,481.0,478.0,478.0,487.0,486.0,478.0,479.0
Saudi Arabia,372.0,401.0,,,,,,,,,386.0,,,,
Serbia,437.0,442.0,,,,,,,,,440.0,,,,
Singapore,553.0,549.0,559.0,552.0,551.0,552.0,541.0,542.0,,,551.0,556.0,551.0,542.0,
Slovak Republic,461.0,467.0,460.0,461.0,475.0,467.0,490.0,491.0,491.0,485.0,464.0,461.0,471.0,490.0,488.0
Slovenia,502.0,512.0,510.0,516.0,510.0,519.0,505.0,519.0,515.0,523.0,507.0,513.0,514.0,512.0,519.0
Spain,484.0,482.0,496.0,489.0,500.0,493.0,492.0,485.0,491.0,486.0,483.0,493.0,496.0,488.0,488.0
Sweden,496.0,503.0,491.0,496.0,481.0,489.0,493.0,497.0,504.0,503.0,499.0,493.0,485.0,495.0,503.0
Switzerland,495.0,495.0,508.0,502.0,518.0,512.0,520.0,512.0,514.0,509.0,495.0,506.0,515.0,517.0,512.0
Thailand,415.0,435.0,416.0,425.0,433.0,452.0,418.0,431.0,411.0,428.0,426.0,421.0,444.0,425.0,421.0
Trinidad and Tobago,,,414.0,435.0,,,401.0,419.0,,,,425.0,,410.0,
Tunisia,,,388.0,385.0,399.0,398.0,401.0,400.0,383.0,388.0,,386.0,398.0,401.0,386.0
Turkey,465.0,472.0,422.0,429.0,458.0,469.0,448.0,460.0,418.0,430.0,468.0,425.0,463.0,454.0,424.0
Ukraine,470.0,468.0,,,,,,,,,469.0,,,,
United Arab Emirates,420.0,447.0,424.0,449.0,434.0,462.0,,,,,434.0,437.0,448.0,,
United Kingdom,506.0,503.0,510.0,509.0,521.0,508.0,519.0,509.0,520.0,510.0,505.0,509.0,514.0,514.0,515.0
United States,503.0,502.0,500.0,493.0,497.0,498.0,509.0,495.0,489.0,489.0,502.0,496.0,497.0,502.0,489.0
Uruguay,428.0,424.0,440.0,431.0,415.0,416.0,427.0,428.0,427.0,430.0,426.0,435.0,416.0,427.0,428.0
Viet Nam,,,523.0,526.0,529.0,528.0,,,,,,525.0,528.0,,
